Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
51881,The Hangover,106,5,8017571.819420012
19706,Blood Diamond,106,17,8956633.886389725
7568,Captain America: The Winter Soldier,106,25,8090600.378035398
49041,Aliens vs Predator: Requiem,106,17,7211048.214480871
70891,Land of the Dead,106,3,8430011.554142585
56716,Midnight in Paris,106,15,9605667.590648256
28858,Dreamgirls,106,1,6414281.009042291
6346,Iron Man,105,25,8208338.421515265
58826,Walk the Line,105,13,6862413.222700333
43664,Dream House,105,3,8418528.720972503
22926,Pixels,105,5,8522093.004067045
63666,Stop-Loss,105,10,9535979.78132139
81013,Dirty Grandpa,105,42,9085399.602601424
25284,Jumper,105,3,8678327.302461535
25592,The Hunger Games,105,0,8007103.7205306385
43378,Free State of Jones,105,21,6907525.782691663
57717,Deliver Us from Evil,105,15,7247282.3086962635
93617,Boyhood,105,10,8066174.891908948
62037,No Strings Attached,105,1,8402093.34977893
6988,Inside Out,105,14,6117343.593623687
23826,Twister,105,9,9502491.878339568
31278,Stardust,104,2,7955118.665988087
38176,Just Like Heaven,104,1,6100076.115492589
68833,12 Rounds,104,21,6929287.9310170645
73977,Boys and Girls,104,6,8085613.442640139
53892,Sabotage,104,19,6955370.539838941
39593,Ronin,104,30,10516079.682562679
82229,White Noise,104,17,7365724.069621327
87573,Magic Mike,104,1,7812743.999534334
50326,Snowpiercer,104,36,10980772.052984755
22383,Tropic Thunder,104,5,8132906.392874244
78770,"Paris, je t'aime",104,30,15866489.63914989
60730,A Walk Among the Tombstones,103,15,7397808.38794619
21645,The Spiderwick Chronicles,103,22,7907580.159381994
15735,Prometheus,103,2,7887980.3408943005
85264,Flame & Citron,103,32,9048659.041814016
55128,"Big Mommas: Like Father, Like Son",103,19,8404633.692518383
38435,Red Tails,103,18,6664017.4678886
47947,Dumb and Dumber To,103,6,7529827.703831197
16416,The Wolverine,103,24,9833617.028786901
68718,Crank: High Voltage,103,25,6913761.771619324
65271,There's Something About Mary,103,6,7272432.82796992
7502,47 Ronin,103,2,8044090.348796409
39838,Changeling,103,16,8034692.846328381
62144,Final Destination 3,103,17,5698946.674816396
40414,Bullet to the Head,102,21,6828846.382922179
33019,Dreamcatcher,102,17,7707532.326153284
6431,Hugo,102,15,8136505.630554397
48330,17 Again,102,13,6887563.881516614
81403,Invaders from Mars,102,47,8008819.993680276
32602,Body of Lies,102,2,8739922.088188397
9716,Harry Potter and the Order of the Phoenix,102,2,5541572.309664457
85953,Nightcrawler,102,4,6660831.295079129
57666,Get on Up,102,19,7859757.665013957
1953,The Chronicles of Narnia: Prince Caspian,102,2,6968989.585294478
60943,Final Destination 2,102,17,6139367.986912603
34171,"I, Frankenstein",101,24,7695347.588559486
94252,The Veil,101,26,8297504.876769378
39013,Captain Phillips,101,2,7845069.721441899
14098,After Earth,101,1,7173929.117064152
70716,The Book Thief,101,31,8740843.74679769
87435,Juno,101,17,6461927.461316801
57088,Sicario,101,16,7104177.01745519
58012,The Whole Ten Yards,101,22,6622332.679562225
84986,The Purge: Anarchy,100,26,6329731.112288122
65743,"Hail, Caesar!",100,1,10460052.338210844
38753,Meet the Parents,100,15,6585476.536762079
33106,The Matrix,100,24,9148522.569975825
93779,Four Rooms,100,10,7226903.2568706
59937,Octopussy,100,20,7586839.685332419
37199,Edge of Darkness,100,11,7524066.701171634
56031,The Butler,100,21,8758852.61882679
60410,Case 39,99,17,6515507.791226893
27477,Red Planet,99,24,7036804.020541198
68421,From Dusk Till Dawn,99,10,7473517.76175084
86477,Easy A,99,5,7092451.195046825
20310,Hercules,99,2,8341514.230624062
62064,Tombstone,99,9,10798585.798836952
6265,Up,99,14,5505414.434586793
82492,Jeepers Creepers,99,46,6756037.0604623025
33754,Annie,99,15,6952885.278319446
57153,Drag Me to Hell,98,4,7918603.847522377
39127,Maid in Manhattan,98,15,7215739.435425489
29688,Snake Eyes,98,22,6554901.76822174
72108,The White Ribbon,98,31,9261370.485850753
69845,Equilibrium,98,31,8128376.434121894
49089,Music and Lyrics,98,15,7381892.376823638
13484,The Hunger Games: Catching Fire,98,0,8372795.114811117
64343,The Whole Nine Yards,98,22,7321473.098911087
31234,The Siege,98,15,5601306.817895014
65003,In the Valley of Elah,98,25,8718705.726773513
41309,Shrek,98,14,8057625.714959634
54576,Exit Wounds,97,3,7361571.08566756
